0,3858
1,3876
2,3901
3,3862
4,3909
5,3925
6,4068
7,4028
8,3508
9,3925
10,4074
11,4090
12,3952
13,3936
14,3863
15,3780
16,3803
17,3886
18,3834
19,3668
20,3644
21,3739
22,3682
23,3785
24,3546
25,3653
26,3673
27,3579
28,3562
29,3681
30,3553
31,3615
32,3634
33,3471
34,3508
35,3666
36,3352
37,3382
38,3443
39,3430
40,3407
41,3429
42,3263
43,3257
44,3280
45,3221
46,3365
47,3372
48,3348
49,3237
50,3270
51,3279
52,3333
53,3333
54,3424
55,3239
56,3268
57,3266
58,3344
59,3503
60,3284
61,3438
62,3319
63,3386
64,3408
65,3499
66,3385
67,3411
68,3391
69,3597
70,3562
71,3642
72,3493
73,3476
74,3616
75,3520
76,3534
77,3678
78,3730
79,3780
80,3629
81,3846
82,3837
83,4047
84,3817
85,3827
86,3897
87,4006
88,3980
89,4161
90,4022
91,4310
92,4279
93,4349
94,4329
95,4503
96,4293
97,4456
98,4424
99,4400
100,4473
101,4468
102,4435
103,4416
104,4472
105,4574
106,4358
107,4669
108,4453
109,4264
110,4399
111,4373
112,4380
113,4471
114,4461
115,4325
116,4226
117,4293
118,4306
119,4364
120,4233
121,4031
122,4040
123,3894
124,3949
125,4036
126,4011
127,3856
128,3910
129,3919
130,3692
131,3849
132,3611
133,3592
134,3583
135,3506
136,3320
137,3571
138,3456
139,3337
140,3218
141,3264
142,3149
143,3228
144,2997
145,2996
146,2983
147,3009
148,2935
149,2989
150,2830
151,2896
152,2825
153,2815
154,2824
155,2842
156,2596
157,2619
158,2600
159,2605
160,2576
161,2560
162,2516
163,2537
164,2516
165,2459
166,2457
167,2531
168,2367
169,2325
170,2342
171,2278
172,2353
173,2457
174,2342
175,2322
176,2324
177,2422
178,2380
179,2418
180,2231
181,2238
182,2275
183,2323
184,2288
185,2317
186,2251
187,2115
188,2230
189,2249
190,2207
191,2410
192,2180
193,2085
194,2143
195,2216
196,2311
197,2239
198,2260
199,2212
200,2270
201,2278
202,2292
203,2401
204,2308
205,2224
206,2262
207,2266
208,2327
209,2339
210,2352
211,2266
212,2345
213,2569
214,2530
215,2566
216,2491
217,2438
218,2572
219,2517
220,2553
221,2717
222,2670
223,2722
224,2749
225,2871
226,2928
227,2958
228,2809
229,2842
230,2916
231,3019
232,3012
233,3062
234,3158
235,3273
236,3190
237,3363
238,3300
239,3352
240,3357
241,3443
242,3470
243,3546
244,3526
245,3443
246,3562
247,3595
248,3520
249,3640
250,3466
251,3875
252,3507
253,3502
254,3389
255,3611
256,3599
257,3688
258,3725
259,3616
260,3483
261,3675
262,3648
263,3884
264,3437
265,3585
266,3671
267,3612
268,3750
269,3677
270,3560
271,3697
272,3636
273,3801
274,3861
275,3811
276,3889
277,3914
278,3682
279,3571
280,3706
281,3780
282,3784
283,3903
284,3829
285,3836
286,3881
287,3970
288,3794
289,3879
290,3815
291,3948
292,3945
293,3861
294,3797
295,3981
296,3983
297,4018
298,3626
299,4098
300,3857
301,3908
302,3922
303,3890
304,3889
305,3944
306,3665
307,3855
308,3750
309,3740
310,3546
